ds,yhat,yhat_lower,yhat_upper,y
2023-12-13,197.80459535412123,169.5040210829366,226.9185100018957,194.64999389648438
2023-12-14,197.7686195835453,167.28505002637252,225.9368307672154,200.10000610351562
2023-12-15,197.30588820687746,169.50286333496138,224.84206087985172,201.8000030517578
2023-12-18,197.35030946964991,169.02826352356524,225.22111942298122,209.5500030517578
2023-12-19,197.38645928659335,167.57219793778248,224.93868658340307,202.39999389648438
2023-12-20,197.3484334810987,168.47024692851647,225.86980240070662,190.60000610351562
2023-12-21,197.4615799858087,169.60437869664136,226.4273604394025,193.60000610351562
2023-12-22,197.17111333127826,167.91860780593984,227.37076068555697,192.8000030517578
2023-12-26,198.06147705075853,171.03505669020333,226.69304425847287,194.35000610351562
2023-12-27,198.22794079774704,169.31676642205676,227.41886892092245,197.75
2023-12-28,198.53586346042283,170.15503059354074,226.58777175789814,198.0
2023-12-29,198.42589618638527,168.54478623851043,228.0956287139789,188.3000030517578
2024-01-02,199.82720211903933,169.33885110223392,227.83211962185362,190.14999389648438
2024-01-03,200.05837058015004,170.42278128793524,229.09370294024066,186.25
2024-01-04,200.40463794482375,174.10021603593654,230.4012692376065,185.5500030517578
2024-01-05,200.3075794233452,173.44787670844192,228.51818701676467,182.8000030517578
2024-01-08,201.27943305708087,170.8949385090045,230.81391125548203,181.39999389648438
2024-01-09,201.5514247674693,172.2924147261928,230.49302417463596,184.10000610351562
2024-01-10,201.70777796388498,172.8830402650792,229.3411096318199,181.14999389648438
2024-01-11,201.97335846258073,174.10077629181322,232.93623042014642,184.0500030517578
2024-01-12,201.79431709108658,171.46577904106056,233.00567985708548,180.0
2024-01-16,202.78609931707535,175.01510053868125,229.7134511877348,185.25
2024-01-17,202.91794968577486,174.15903851205462,231.1237761899323,179.1999969482422
2024-01-18,203.18046272764144,174.34928604988505,231.5254321751232,179.9499969482422
2024-01-19,203.02160703192067,175.5523166985516,230.74725599601067,185.14999389648438
2024-01-22,203.99057890011716,174.08558871739137,232.26402538441133,192.25
2024-01-23,204.33375654531588,175.1693820823637,231.56392475293205,192.9499969482422
2024-01-24,204.59975715092554,176.17179736616907,235.8054715731662,189.4499969482422
2024-01-25,205.01274832902527,174.96680708169438,234.2393592162752,186.9499969482422
2024-01-26,205.01672477476174,176.0849053698024,232.50105947377438,193.85000610351562
2024-01-29,206.50010342238696,175.85085961392429,233.43559534536067,189.25
2024-01-30,207.00540809360604,177.50738581265915,236.53119925564204,194.0
2024-01-31,207.41944240710737,177.09375985654071,237.17065383519088,194.0500030517578
2024-02-01,207.96079604817095,180.82693372392075,235.7649938757775,194.1999969482422
2024-02-02,208.0681645716041,177.52377519962556,238.07791757838038,191.9499969482422
2024-02-05,209.6663613471741,178.68991221979508,238.34993438772415,189.5
2024-02-06,210.1331126491205,180.52548054305348,239.28819169495196,188.1999969482422
2024-02-07,210.4664803167837,181.13202414602966,239.54202124143782,190.6999969482422
2024-02-08,210.8843178733753,180.86137805845047,242.67280786776755,188.8000030517578
2024-02-09,210.82565655739003,183.78805926224277,239.87651422210007,196.3000030517578
2024-02-12,211.69039764957694,181.58648166863492,240.3390513177554,195.60000610351562
2024-02-13,211.84606119539876,182.90141714029505,241.83287705638304,193.0
2024-02-14,211.8433893565563,185.4637550299271,241.1932408095398,187.0500030517578
2024-02-15,211.90649487409343,184.58320167457074,241.52615915012373,189.3000030517578
2024-02-16,211.4813209388233,184.13184396051548,239.39504574025136,190.85000610351562
2024-02-20,211.06988633946946,181.44485533387365,239.89556409580845,191.60000610351562
2024-02-21,210.75675424014642,182.52440107038277,241.640427762978,198.35000610351562
2024-02-22,210.54331489592536,183.22069500569071,237.71150965223558,193.85000610351562
2024-02-23,209.8821266154217,179.74346276486528,239.1461164249596,191.0
2024-02-26,209.24135116825872,180.57834595279814,238.35418128121154,190.10000610351562
2024-02-27,209.0349923028602,180.48620420520987,237.06562476907303,194.0500030517578
2024-02-28,208.7567407545329,179.66780430412038,238.2001543764768,193.35000610351562
2024-02-29,208.63828653583005,180.66655801592302,238.0894424650943,195.85000610351562
2024-03-01,208.13130272172523,179.20258622462217,236.39105042573803,193.8000030517578
2024-03-04,208.28127012775514,176.96636293254173,239.29050188174577,197.39999389648438
2024-03-05,208.43315257304727,179.24529660051107,237.8916112313176,195.0
2024-03-06,208.550644072302,179.20807212979474,237.52283848843516,194.4499969482422
2024-03-07,208.8583366546937,179.9966296107351,235.9264335430036,198.35000610351562
2024-03-08,208.8002291278471,178.93768205419607,237.18763180892145,191.39999389648438
2024-03-11,210.35164290917243,180.3241093577734,237.76955218944184,194.35000610351562
2024-03-12,210.9614857861307,180.45882714781217,239.75407224043008,195.39999389648438
2024-03-13,211.51913988601322,183.6317736552315,240.8918239320887,191.64999389648438
2024-03-14,212.2419710872731,184.2439827627429,237.07005845082762,191.35000610351562
2024-03-15,212.56744602744092,182.5968118423469,240.90510442762172,182.85000610351562
2024-03-18,215.02814528938964,187.39439185478255,243.43835406908119,181.85000610351562
2024-03-19,215.84832378203737,186.2290140843909,244.3499652863486,183.0500030517578
2024-03-20,216.5665742879376,188.97468629796725,244.19307248278736,182.39999389648438
2024-03-21,217.3999670853925,188.02487331082517,246.96848952575812,185.6999969482422
2024-03-22,217.78680077353312,187.62799016820964,245.4194740589866,184.85000610351562
2024-03-25,220.16031009048876,191.0124783425202,248.00752465707413,185.64999389648438
2024-03-26,220.87353171974775,191.3512695744035,248.80795707958998,188.0500030517578
2024-03-27,221.4539806372842,193.02334395650772,250.08991182866072,190.64999389648438
2024-03-28,222.1243819820353,192.86646424998187,250.09624998729487,188.85000610351562
2024-04-01,224.10089416803595,196.52869228373376,251.69098219128557,191.8000030517578
2024-04-02,224.61456415688647,197.81592741244592,254.1297934285195,197.75
2024-04-03,225.00461939662716,197.03810531658948,255.18019678758077,203.60000610351562
2024-04-04,225.49810732581207,196.40421045163777,255.79084921475723,206.75
2024-04-05,225.54286144322404,199.59527111696397,256.1605943051352,212.5
2024-04-08,226.96064740959372,199.20312071292298,256.69357693708184,211.10000610351562
2024-04-09,227.40127694267144,198.88480173365724,255.2663124120184,213.5500030517578
2024-04-10,227.74011678511044,202.84985191815954,258.65620271630365,214.64999389648438
2024-04-11,228.20251862146236,197.81742200097472,257.68223533057966,220.35000610351562
2024-04-12,228.23385304731462,200.6196038860802,257.69921407190725,224.64999389648438
2024-04-15,229.68342080805044,199.75492105782163,257.11494225172385,231.5500030517578
2024-04-16,230.14511687881236,202.34513001770716,259.15986395551744,236.75
2024-04-17,230.50287979871896,202.345949771483,259.62919309083026,247.9499969482422
2024-04-18,230.97758830691845,201.7730531847399,259.4073571237238,239.85000610351562
2024-04-19,231.01032589671382,199.2127030592031,259.96071581087176,241.39999389648438
2024-04-22,232.36163324259536,204.2445296331451,261.4970500075718,231.64999389648438
2024-04-23,232.74690551196204,202.6560827406091,261.6076259219516,224.5
2024-04-24,233.0034377916465,204.47547760132747,261.30352147701393,228.4499969482422
2024-04-25,233.35155788767963,204.55476676052527,261.91272229461663,231.9499969482422
2024-04-26,233.23268185985754,204.41068963287395,260.81448378543234,230.60000610351562
2024-04-29,233.99558769384765,204.07428499977806,263.3801677761089,233.5500030517578
2024-04-30,234.149913773578,203.9407118269474,261.8156703692472,220.64999389648438
2024-05-01,234.16479597179128,206.5539332371607,262.49739979667794,219.0500030517578
2024-05-02,234.26548362985574,206.43009517448138,262.6745642188256,208.64999389648438
2024-05-03,233.8987385214668,206.44085915779763,263.5456808512632,205.89999389648438
2024-05-06,233.97210030282517,204.74001895839896,262.6167574267602,200.6999969482422
2024-05-07,233.9334505025448,203.55066047995425,261.7024921064134,199.0
2024-05-08,233.7826276950588,204.7659869967338,261.3373580346067,200.25
2024-05-09,233.74949666713232,205.96583034659164,264.0362942353799,203.6999969482422
2024-05-10,233.28477464361418,205.75097486469255,260.56131463215826,204.39999389648438
2024-05-13,233.3064192846847,205.70989200919922,260.9046808668548,200.39999389648438
2024-05-14,233.33555975880074,207.18626720627014,259.2771406377843,202.85000610351562
2024-05-15,233.29460477191853,204.18735067202883,263.4511101370562,201.25
2024-05-16,233.41156161600014,205.9201115929514,263.3183318689625,199.5500030517578
2024-05-17,233.1342485500587,205.10262765361097,262.1734896021284,208.14999389648438
2024-05-20,233.89873410438517,204.68522772822604,260.5462073284856,209.3000030517578
2024-05-21,234.21715292579995,205.63008432785387,266.6981145218111,217.1999969482422
2024-05-22,234.47542837292872,206.93565474971678,261.75241802490194,220.4499969482422
2024-05-23,234.89438971819558,205.2950861954448,264.0666632896104,215.64999389648438
2024-05-24,234.9144802828364,207.35288096475114,264.38234422028364,218.25
2024-05-28,236.99669020668532,206.61204059026056,267.99530766573343,230.9499969482422
2024-05-29,237.42442695997346,208.3170439957762,265.4058373420858,229.4499969482422
2024-05-30,237.96982963617364,208.2656307185573,266.9520139873765,233.0
2024-05-31,238.06942832642815,207.80118147605754,265.7423209492314,222.35000610351562
2024-06-03,239.55964422083713,210.4901041483113,268.15251543568246,226.5500030517578
2024-06-04,239.96040907630135,210.52114404603134,270.1724604573394,233.89999389648438
2024-06-05,240.2133297840623,211.3324522239842,269.7536689930731,231.9499969482422
2024-06-06,240.53739294063365,209.99861912968322,271.0552654437958,234.1999969482422
2024-06-07,240.37324662470357,214.24599105672036,271.5184744488389,224.8000030517578
2024-06-10,240.87334816487243,210.80104477371725,270.04963053171184,221.39999389648438
2024-06-11,240.90018420974855,213.51439370216815,270.3892266143285,220.5500030517578
2024-06-12,240.7698345927669,211.73773034893404,270.96629946880563,224.35000610351562
2024-06-13,240.70932800095332,213.47572921456518,269.05596614484745,226.0500030517578
2024-06-14,240.1674181365779,212.19409622701113,268.44807838050957,224.14999389648438
2024-06-17,239.65319396167786,212.20172207484558,270.8141910104239,227.14999389648438
2024-06-18,239.40540520180787,210.45398478043515,266.57245392085207,226.3000030517578
2024-06-20,238.79610106715074,211.79344155064152,267.8892732873353,230.25
2024-06-21,238.11904531952342,208.8020896032929,267.3443003813738,226.5500030517578
2024-06-24,237.52483058357123,208.01760360129498,264.2006351398076,238.0
2024-06-25,237.36017524620257,207.75223091122805,267.1716632408408,231.1999969482422
2024-06-26,237.13295927130255,207.92019528637604,268.2837555262768,226.35000610351562
2024-06-27,237.0720378814772,208.8487204327327,266.99274034189636,228.25
2024-06-28,236.62596061469316,207.35625995482917,265.5458664979217,228.9499969482422
2024-07-01,236.94504947625524,207.81055734388676,265.9445540949993,226.6999969482422
2024-07-02,237.13723643359674,210.30207740053544,267.1516670817615,229.10000610351562
2024-07-03,237.28141067969884,209.1704157993505,263.76927295836157,225.9499969482422
2024-07-05,237.53153787293533,208.49021357788476,266.0698990381291,230.3000030517578
2024-07-08,238.91609865083458,209.70487247002197,268.1585835663679,236.1999969482422
2024-07-09,239.41919078548716,210.0264743726541,269.0663336961923,252.0
2024-07-10,239.84330329066978,211.5681090555804,269.424486075345,245.6999969482422
2024-07-11,240.40585531940195,213.18181585456912,268.35598070697085,246.75
2024-07-12,240.5448884542678,212.35669389606,268.6299120586999,250.4499969482422
2024-07-15,242.30237340710826,211.28799891385097,272.0120607258062,244.14999389648438
2024-07-16,242.84672916281585,211.77024029951184,270.96432803491865,245.39999389648438
2024-07-17,243.27263878540236,213.78201465255316,273.13447804829855,247.35000610351562
2024-07-18,243.8001156784684,212.56706972909768,272.1731539351316,243.39999389648438
2024-07-19,243.87059797745002,214.97203950894988,272.5534033720924,238.1999969482422
2024-07-22,245.26540670263594,215.08827499769166,273.47775722071964,243.0500030517578
2024-07-23,245.65358596293265,215.55881312225276,272.3323951573592,239.10000610351562
2024-07-24,245.91496734140728,217.2327868067863,275.07653782832926,231.14999389648438
2024-07-25,246.2753065681882,217.72587551865743,275.0334826456137,234.6999969482422
2024-07-26,246.1817030662337,217.16561477263795,276.41351436264364,230.25
2024-07-29,247.15523724089104,216.71928528719118,274.86846968513635,230.39999389648438
2024-07-30,247.44207555499625,218.80346613162055,278.5944925970359,230.8000030517578
2024-07-31,247.62795082718463,221.11408491400275,277.9120804416668,229.1999969482422
2024-08-01,247.94137501584402,219.49883150712773,275.5261149479732,227.25
2024-08-02,247.83144380662378,220.39632571402922,275.1543815265566,230.5
2024-08-05,248.94752215745214,221.53479905067698,276.1776845867445,225.6999969482422
2024-08-06,249.3443865458151,218.74791347378115,278.66596990072,235.9499969482422
2024-08-07,249.6689565079048,222.57770382075583,279.2841460861341,246.3000030517578
2024-08-08,250.1471324903713,220.60966052968257,279.14666658150725,245.3000030517578
2024-08-09,250.22478271345824,220.5480474208645,280.0423915853588,234.0500030517578
2024-08-12,252.00084149588878,222.95425984886225,282.5845071502394,240.85000610351562
2024-08-13,252.6350456826852,224.50400263435174,282.51316375824314,232.6999969482422
2024-08-14,253.19754748081237,221.34105219745592,281.98726512671556,237.0
2024-08-15,253.90929306592102,223.1279889057688,282.74922139537335,239.89999389648438
2024-08-16,254.21127372787768,226.1925317163609,286.15829547243646,245.4499969482422
2024-08-19,256.5593525372409,228.4150178065447,286.5718907290959,245.89999389648438
2024-08-20,257.33709608854355,229.51800213993286,284.2134268283036,249.4499969482422
2024-08-21,258.0139518455052,227.45344785136453,290.08537483469064,249.4499969482422
2024-08-22,258.8082979609896,230.81181044552594,287.5541357257345,246.8000030517578
2024-08-23,259.159157872205,230.89870548273916,288.0187146723072,251.1999969482422
2024-08-26,261.4413933906755,231.71663338472447,288.9468734658286,253.64999389648438
2024-08-27,262.1262059916487,233.03200308045527,291.1863889044354,259.3999938964844
2024-08-28,262.67614329743367,234.5999552720779,292.43417448308605,260.45001220703125
2024-08-29,263.31138311365254,235.78388759457178,293.4451748456229,251.8000030517578
2024-08-30,263.473292039796,233.80267380349852,292.0881468726937,248.1999969482422
2024-09-03,265.4488935390333,236.1730976160174,294.2893059744949,246.75
2024-09-04,265.7108372295429,237.21589656679168,294.9310188440276,245.5500030517578
2024-09-05,266.05037191695425,237.29817544037607,294.30152042056085,246.60000610351562
2024-09-06,265.9132383564459,235.83621112652463,293.36274248742853,240.0500030517578
2024-09-09,266.60606246587713,238.0377205092619,296.37691412259636,249.4499969482422
2024-09-10,266.7450288968505,239.3329873678916,294.7579361572173,248.0
2024-09-11,266.75410958000214,237.46427109494593,295.4184058188152,249.4499969482422
2024-09-12,266.86108142065103,237.0290620543786,297.10905351810925,252.0
2024-09-13,266.5145914813774,236.1511497237041,293.81542341354475,262.04998779296875
2024-09-16,266.7409636779639,237.32197721402198,295.0994407958642,259.04998779296875
2024-09-17,266.78334007610437,235.91912757163726,293.63110406249604,265.0
2024-09-18,266.72650313310186,238.32264247153012,296.5130040730645,263.1499938964844
2024-09-19,266.7981776964841,238.35631801917597,296.6237007380431,261.6499938964844
2024-09-20,266.44643901315743,235.07917826611163,296.4596988758996,250.75
2024-09-23,266.82420960131816,237.68310274323522,294.2758006248874,263.6499938964844
2024-09-24,266.9661050991008,239.46260710149616,296.4195310979552,267.79998779296875
2024-09-25,267.0289756088379,237.00524070820188,295.2553601370352,269.1000061035156
2024-09-26,267.23743720969736,235.57600836894184,296.6233264540929,273.8999938964844
2024-09-27,267.03619575598975,240.33547388673472,298.5368744875381,269.1499938964844
2024-09-30,267.91143008898484,236.7559593659012,298.0168792277842,270.25
2024-10-01,268.2219783523001,237.68719745787803,297.5436009680624,264.1499938964844
2024-10-02,268.44871692350637,237.33323732162336,296.8447533413534,256.5
2024-10-03,268.8127171083386,242.31382549390696,300.0676073465041,252.0500030517578
2024-10-04,268.7553540484073,239.55208536202227,297.41354033170217,257.3500061035156
